IV_Name,IV_Value,Trial,Prob_Cop_After_Cop,Prob_Cop_After_Def
miscommunicationRate,0.0,0,0.29392359999999995,0.10569310000000001
miscommunicationRate,0.0,1,0.0592078,0.05981105000000001
miscommunicationRate,0.0,2,0.2135783,0.11104075
miscommunicationRate,0.0,3,0.056231949999999996,0.12963999999999995
miscommunicationRate,0.0,4,0.1841161,0.1209664
miscommunicationRate,0.0,5,0.28042725,0.02973035
miscommunicationRate,0.0,6,0.2824036,0.04211575
miscommunicationRate,0.0,7,0.022724099999999997,0.12314610000000001
miscommunicationRate,0.0,8,0.8514547499999999,0.13468385
miscommunicationRate,0.0,9,0.10243029999999997,0.11739645000000001
miscommunicationRate,0.0,10,0.788977,0.1768995
miscommunicationRate,0.0,11,0.25054835,0.16829685000000003
miscommunicationRate,0.0,12,0.3214028,0.0423544
miscommunicationRate,0.0,13,0.0960186,0.024331799999999997
miscommunicationRate,0.0,14,0.2314947,0.04703915000000001
miscommunicationRate,0.001,0,0.18503074999999997,0.11298940000000002
miscommunicationRate,0.001,1,0.428241,0.06679475000000001
miscommunicationRate,0.001,2,0.96770585,0.09954435
miscommunicationRate,0.001,3,0.2689957,0.07364699999999999
miscommunicationRate,0.001,4,0.9522263499999998,0.15363435000000003
miscommunicationRate,0.001,5,0.22753659999999995,0.11502735
miscommunicationRate,0.001,6,0.05874165,0.0735354
miscommunicationRate,0.001,7,0.63192355,0.16211874999999998
miscommunicationRate,0.001,8,0.24326704999999998,0.083287
miscommunicationRate,0.001,9,0.27040549999999997,0.05699909999999999
miscommunicationRate,0.001,10,0.31191699999999994,0.13824825
miscommunicationRate,0.001,11,0.09941824999999999,0.051463350000000005
miscommunicationRate,0.001,12,0.031144099999999997,0.0453293
miscommunicationRate,0.001,13,0.034642349999999995,0.03575355
miscommunicationRate,0.001,14,0.1778801,0.12584349999999997
miscommunicationRate,0.002,0,0.13719350000000002,0.03496655
miscommunicationRate,0.002,1,0.23967620000000003,0.03528425
miscommunicationRate,0.002,2,0.8263521,0.1406689
miscommunicationRate,0.002,3,0.2521877,0.2518406
miscommunicationRate,0.002,4,0.03280904999999999,0.02476545
miscommunicationRate,0.002,5,0.025834100000000006,0.0374598
miscommunicationRate,0.002,6,0.2730345,0.11949320000000001
miscommunicationRate,0.002,7,0.20724610000000002,0.04477954999999999
