IV_Name,IV_Value,Trial,Prob_Cop_After_Cop,Prob_Cop_After_Def
mutationStddev,0.0,0,0.0843619,0.02996105
mutationStddev,0.0,1,0.27711620000000003,0.036193399999999994
mutationStddev,0.0,2,0.05728185,0.14894349999999998
mutationStddev,0.0,3,0.21791889999999997,0.1430452
mutationStddev,0.0,4,0.026519749999999998,0.08424894999999999
mutationStddev,0.0,5,0.03801355,0.12014634999999999
mutationStddev,0.0,6,0.33899155000000003,0.07482540000000001
mutationStddev,0.0,7,0.18719295000000002,0.14724055
mutationStddev,0.0,8,0.9023988000000001,0.11809175000000001
mutationStddev,0.0,9,0.2252173,0.06490450000000002
mutationStddev,0.0,10,0.8559138,0.12048135
mutationStddev,0.0,11,0.06992685000000001,0.036523749999999994
mutationStddev,0.0,12,0.20464469999999996,0.0511007
mutationStddev,0.0,13,0.09618305,0.13575235
mutationStddev,0.0,14,0.13279119999999997,0.061102299999999984
mutationStddev,0.001,0,0.16486379999999998,0.038479
mutationStddev,0.001,1,0.28310055,0.050895100000000006
mutationStddev,0.001,2,0.13548785000000002,0.026886299999999995
mutationStddev,0.001,3,0.42541645,0.07427355
mutationStddev,0.001,4,0.2014609,0.13494875
mutationStddev,0.001,5,0.05617630000000001,0.1266497
mutationStddev,0.001,6,0.09111585000000001,0.12429335000000001
mutationStddev,0.001,7,0.38333579999999995,0.14430355
mutationStddev,0.001,8,0.3096223,0.03013005
mutationStddev,0.001,9,0.31493774999999996,0.143046
mutationStddev,0.001,10,0.27200165000000004,0.1674254
mutationStddev,0.001,11,0.12267275,0.09405444999999998
mutationStddev,0.001,12,0.13471434999999998,0.25330915
mutationStddev,0.001,13,0.26247624999999997,0.344906
mutationStddev,0.001,14,0.06110439999999999,0.05386519999999999
mutationStddev,0.002,0,0.022344,0.009491999999999999
mutationStddev,0.002,1,0.3592758,0.22074470000000002
mutationStddev,0.002,2,0.1787658,0.06162710000000001
mutationStddev,0.002,3,0.19122825,0.17154555
mutationStddev,0.002,4,0.20991005000000001,0.04225295
mutationStddev,0.002,5,0.22510355000000004,0.12114
mutationStddev,0.002,6,0.15839704999999998,0.12763680000000002
mutationStddev,0.002,7,0.06330090000000001,0.46908969999999994
mutationStddev,0.002,8,0.08029565000000001,0.02370225
mutationStddev,0.002,9,0.13581235,0.05705015
mutationStddev,0.002,10,0.2882348,0.09835324999999999
